$c0c0$,$c0c1$
-5.7170349435309005,-10.046826076046193
-5.717405530839172,-10.046810989423376
-5.717340743655987,-10.046799945130006
-5.717376684588724,-10.046873655734744
-5.717524405010954,-10.046789610417475
-5.717482743792736,-10.046937032204832
-5.717543635417495,-10.045857344950402
-5.717370169250572,-10.04673805425432
-5.717435702800979,-10.04700108572403
-5.717589330020789,-10.04680187426852
-5.717261759883763,-10.046800170283175
-5.717471676797575,-10.046942360536177
-5.717488289395605,-10.046675137511956
-5.717514879025915,-10.04678795688022
-5.723185213272514,-10.050667429225904
-5.7173900618410025,-10.0469748529184
-5.71725170341958,-10.046742926405296
-5.717459908326806,-10.046814497928786
-5.717651517529554,-10.04681582374205
-5.717332685471371,-10.0469048755206
-5.717439497122578,-10.046878876437274
-5.717538631736815,-10.046681976514044
-5.717488790587776,-10.0466611084128
-5.717585014738805,-10.046821694990918
-5.717480692922701,-10.046671116074194
-5.717731707766477,-10.046896565358685
-5.717359205553265,-10.046695080215525
-5.717512882167482,-10.04677404674171
-5.717375123397895,-10.04699034595891
-5.7172452503631686,-10.046783935040748
-5.717390234326945,-10.046853288703508
-5.717473651941204,-10.046925663699358
-5.717466377566077,-10.04691495423578
-5.717219914843505,-10.046781260081168
-5.717385202874546,-10.046811600584846
-5.717051992616116,-10.046898880939668
-5.717280156964912,-10.046771379888996
-5.71722613377907,-10.047061474499031
-5.717389957579085,-10.046841987936604
-5.717372216723355,-10.046807395730994
-5.717250491936374,-10.046777640297208
-5.717413174483653,-10.04688277735666
-5.7175271458203465,-10.04684007214524
-5.735702060262196,-10.047344862434375
-5.7174002789691665,-10.046733272632144
-5.717687488772416,-10.04685671890396
-5.71717220077717,-10.046671657844357
-5.717185071450729,-10.046800823762718
-5.71748831911111,-10.046704903427988
-5.717281827394058,-10.046750947050716
-5.717793556378716,-10.046746394525869
-5.7171590457593915,-10.046667751754924
-5.7172350246426955,-10.04681975567771
-5.71747783543028,-10.046806409013833
-5.717579040464831,-10.046754663224988
-5.717386437469605,-10.046952707228824
-5.717349131154029,-10.046602449344409
-5.717350742829133,-10.046925249359829
-5.715446352609106,-10.046530839505037
-5.71752005113755,-10.04689545857103
-5.717486676040853,-10.046901776486257
-5.7173153007190365,-10.046976634663896
-5.7174416444819895,-10.04680125241786
-5.717427398843081,-10.04683136868199
-5.717576035836568,-10.046839834056303
-5.717470285313295,-10.046619552340838
-5.7171888940459175,-10.046892303874984
-5.717433517428065,-10.046875913143964
-5.717569302443045,-10.046567547407538
-5.717601521305882,-10.046642928434032
-5.717485391561342,-10.046904335607955
-5.7174647761079616,-10.046855302213377
-5.717575733507505,-10.04677328337245
-5.717401520741723,-10.04672289489996
-5.717659013297164,-10.046915747238968
-5.717277232240823,-10.046751672673787
-5.717621720853936,-10.046931029716916
-5.717544825608895,-10.046699479813077
-5.717343239926789,-10.046778593009304
-5.717158450319771,-10.04671011897982
-5.717431934740959,-10.046749369822022
-5.717616865564324,-10.046868801528992
-5.717432514913835,-10.046794269015434
-5.717344804279759,-10.046889585329744
-5.7173511076822985,-10.046657131231049
-5.7174238901042225,-10.046891754758374
-5.717442920248225,-10.046731691522098
-5.6585900060708,-9.993325115025185
-5.717572203170848,-10.046881626550649
-5.717486291034004,-10.046799333089664
-5.717601434912071,-10.046728349770842
-5.717581638085852,-10.046702244024578
-5.717605793078859,-10.046693279131627
-5.717347149417008,-10.047014451873888
-5.717414082559763,-10.046836902958212
-5.717442584197937,-10.046800148862562
-5.717186893825206,-10.046930050908877
-5.7176345372376485,-10.046887292931856
-5.717437247751392,-10.046866978930767
-5.717597766307126,-10.046880580678852
-5.717560524146994,-10.046693255462914
-5.717524328511075,-10.046866657279402
-5.717423473360373,-10.046691639579318
-5.717411886282134,-10.046867241555258
-5.717529648038561,-10.046843305043256
-5.717452199470896,-10.04679785099517
-5.717334592061043,-10.046720344122006
-5.717605678849438,-10.046786827918018
-5.717534830039554,-10.046781501647937
-5.717575882339632,-10.04698383310109
-5.717506763615425,-10.046795649302824
-5.717315040274789,-10.04686292557881
-5.717635361640373,-10.046858055328938
-5.717306941381159,-10.046953242684578
-5.717333144410242,-10.046950655198613
-5.7174495586906025,-10.046709068381512
-5.7175511059347555,-10.046923372659323
-5.717381361374343,-10.046870443511816
-5.7195582551693605,-10.04671089393256
-5.717277189541129,-10.046784830732085
-5.7175536763830666,-10.046884930111007
-5.7175502998822045,-10.046587527294625
-5.717333197173441,-10.046801419727956
-5.717483028853455,-10.046663716231125
-5.717235199639319,-10.046695531418711
-5.7171711094259425,-10.046830106760808
-5.71754777444741,-10.046690950895073
-5.717352517806182,-10.046806369628667
-5.717311948890433,-10.046835293163625
-5.717534000621735,-10.046701167722167
-5.717731310579578,-10.046879725017655
-5.717293136166899,-10.046753119546
-5.717457332777945,-10.046795476810216
-5.717125327932617,-10.046892356131124
-5.717538344029412,-10.046755223559067
-5.717597335087194,-10.046865692840752
-5.717287124634884,-10.04688693806276
-5.717689372126525,-10.04670244597568
-5.717779525958814,-10.046792774602752
-5.717306152172682,-10.04678249937285
-5.717506328322987,-10.04682657475726
-5.717532734022386,-10.046712442345278
-5.717421068114901,-10.046717187351032
-5.717272079420512,-10.046842776858073
-5.717563169627776,-10.046846790924956
-5.717223905012953,-10.046684145278263
-5.717231491190845,-10.046754607767262
-5.717312639493131,-10.04676713118175
-5.717636870951247,-10.046682101573756
-5.716947004626217,-10.046983672345926
-5.717235859800737,-10.046790906896216
-5.717188892065492,-10.046627635514556
-5.717678117648521,-10.046764552345854
-5.717409755435533,-10.046815637770274
-5.717401142531286,-10.046814857609451
-5.717334494921068,-10.046651362834078
-5.717212411652426,-10.046807946823623
-5.71748456268398,-10.047028001437775
-5.71750796545781,-10.046649787183616
-5.71756724849129,-10.046957318322002
-5.717490604656456,-10.046783215426627
-5.717167461127408,-10.046914332496076
-5.7174563642397,-10.0467913461545
-5.717569985725853,-10.046787333550968
-5.717465545629916,-10.046937856407943
-5.687084510150734,-9.930632130377775
-5.717325866991946,-10.046741833437018
-5.7174144114794725,-10.046851067809872
-5.717560924867496,-10.046892722852313
-5.717446262062378,-10.046856053646804
-5.71739646820721,-10.04681257231625
-5.7174548085004915,-10.046958435060676
-5.717342085175952,-10.046767639697382
-5.717315931074866,-10.047004235582468
-5.717535133095643,-10.04686151088286
-5.717351213960783,-10.046952637195709
-5.717587615574738,-10.046831408948195
-5.717187652350041,-10.046897997308411
-5.717607471649764,-10.046799195801272
-5.717388149456772,-10.046933879998168
-5.717412929546091,-10.04685082085266
-5.717449075981205,-10.04711012981591
-5.7175324334914235,-10.046840312705855
-5.717532127124271,-10.046849860864258
-5.717553394985075,-10.046693141875751
-5.7174499583034315,-10.046884666052264
-5.717323804392146,-10.046894410388653
-5.718678007240123,-10.045559034112324
-5.717478941223399,-10.046895559221424
-5.717550547195122,-10.047014231869344
-5.717500068537793,-10.046744012192075
-5.717383318012762,-10.046662160114607
-5.717435746452172,-10.046940719951603
-5.7172508102930975,-10.046752078463276
-5.717592019684412,-10.046883877171467
-5.717541231117082,-10.04687985788705
-5.717420180938122,-10.046903912118442
-5.717223721933247,-10.04711885067089
-5.7174344579713825,-10.046741772985309
-5.717521895954264,-10.046911931607768
-5.71741860826653,-10.046834315787883
-5.717429348039845,-10.046905432417372
-5.717643805453147,-10.046709318989604
-5.717321978273026,-10.046790986030606
-5.717444418705103,-10.046750943592553
-5.717482736592871,-10.046665537416082
-5.7173295475451065,-10.046938506483
-5.682599785123164,-9.979290024297931
-5.717258039367406,-10.046609703181812
-5.717415571457265,-10.04679648149776
-5.717505126997124,-10.046701022354805
-5.717433817949319,-10.046742314350954
-5.7173697535985495,-10.046673798365669
-5.717369672593543,-10.04681310698425
-5.717382708004577,-10.046829240799116
-5.7174623228245744,-10.046656064216124
-5.71702160803111,-10.0467191933208
-5.717419322737637,-10.04665284402141
-5.717482447209135,-10.046784242902712
-5.717331108233161,-10.04682027961869
-5.717545885968226,-10.046730150400467
-5.7176343335828745,-10.046723980134091
-5.717605921525208,-10.046640018430097
-5.717454415005645,-10.046889904698077
-5.7174841702003745,-10.046785298060648
-5.717473656578723,-10.046940670400966
-5.717567844920128,-10.04690495734864
-5.71738627181133,-10.04685969953478
-5.71777406144522,-10.046901678331754
-5.717017972183396,-10.046769947090883
-5.717698009418275,-10.046689102442947
-5.717348599510824,-10.04677501922854
-5.717388552459941,-10.046798915862231
-5.717468305189056,-10.046869712796475
-5.717368788375058,-10.046680290252112
-5.717502281663363,-10.046698665082411
-5.71741572866859,-10.046750319127865
-5.717310974946804,-10.04671314634564
-5.717288611521006,-10.046765424430076
-5.717547907351814,-10.046701346960353
-5.717430862854524,-10.046806192258892
-5.717474028365846,-10.046812328453814
-5.717560507320093,-10.046731986823984
-5.717570861608186,-10.046895759966208
-5.717198472566682,-10.046733955379349
-5.717551632769665,-10.046746460485188
-5.717329137923139,-10.046787966374186
-5.7175079330569725,-10.046896725150091
-5.717359529552564,-10.046770356923492
-5.717332118555009,-10.046889340174545
-5.7175107992513015,-10.046921755052209
-5.72440672644606,-10.055959622429132
-5.717494446469989,-10.046838210659764
-5.717559746998916,-10.046994390581904
-5.717479863951216,-10.046756895386103
-5.717474497179987,-10.046847214957465
-5.717594392494298,-10.046699544447389
-5.717480514775668,-10.0468035506588
-5.717438569229055,-10.046875758188245
-5.717395446481358,-10.046783748116152
-5.717685237128937,-10.04675465075108
-5.717293517325775,-10.046682006554764
-5.7172484073779,-10.04683910559913
-5.717476857756979,-10.046317794676945
-5.717475456563478,-10.04695168050052
-5.717519134834066,-10.046900884093516
-5.717381880219866,-10.046777205789232
-5.71750179545113,-10.046834383517202
-5.717449298985387,-10.04686489322097
-5.71737525307392,-10.046818017735342
-5.717315371077266,-10.046825358407814
-5.7170841323663515,-10.046779307925036
-5.7173588636540265,-10.04696278220828
-5.717378356309262,-10.046821228900738
-5.717535357562695,-10.046824017857483
-5.717426786411397,-10.04689188192918
-5.717524675581725,-10.046869346183469
-5.7174467136746685,-10.046689463080249
-5.717269427787937,-10.046852019285131
-5.717112478498037,-10.046777036434497
-5.7173978914636425,-10.04682684888549
-5.717180534559454,-10.046642398722575
-5.722785439494642,-10.046629829699748
-5.717479092966978,-10.046844280363365
-5.717399722658639,-10.04698420962728
-5.717469718600381,-10.046901218560848
-5.717520957489441,-10.046729140004327
-5.7173072667585965,-10.046804175451712
-5.721593878230879,-10.0556968009511
-5.717629338551001,-10.047049064194026
-5.717302726700634,-10.046784178445058
-5.717621424690853,-10.046835690620185
-5.717367435076966,-10.046866049586926
-5.717494414651639,-10.046826218260287
-5.717699380687249,-10.04685214759906
-5.717215519448092,-10.046851636272478
-5.717277870003157,-10.046746590430716
-5.717551632715954,-10.046783126911937
-5.717498295449723,-10.046808874422185
-5.717203954833896,-10.046830598890562
-5.717471889275998,-10.0467826161937
-5.717371993365547,-10.046900575138562
-5.7173782818315635,-10.046613797065872
-5.71730734381339,-10.046777275091571
-5.717402745125322,-10.046893250186534
-5.71745348372421,-10.04683734098032
-5.717131364963463,-10.046848174642346
-5.717494761950641,-10.04691803625732
-5.7171580311722865,-10.046936057838524
-5.717529392927615,-10.046960305080573
-5.717547125120857,-10.046955987393408
-5.717493640830452,-10.046882506232196
-5.717402989381852,-10.046715497854384
-5.717460954355691,-10.04676426813188
-5.717236230698492,-10.046769689199037
-5.717447580138491,-10.046921953274405
-5.71741144003179,-10.04677087844251
-5.717378282747132,-10.04697892670959
-5.717473865599115,-10.046862683529268
-5.717513827363009,-10.046796779155132
-5.717459470631965,-10.046984757869753
-5.717420441902344,-10.046722011109768
-5.717439552167952,-10.046918168669675
-5.7173248496289775,-10.046934146601048
-5.7175159290041275,-10.046760701282096
-5.717397417500588,-10.046783226284472
-5.717344952993444,-10.046820453695434
-5.717193895808319,-10.04686752067166
-5.717544665866303,-10.046681619865518
-5.717556642015955,-10.04678084725277
-5.717383866158124,-10.046926551431495
-5.717601810078029,-10.046875378322008
-5.717414512034773,-10.04698118349369
-5.717581249365744,-10.046822582681935
-5.717396116530101,-10.046810890302456
-5.7174697407112935,-10.046815992203223
-5.717559132353023,-10.0468800372097
-5.717504471131967,-10.046845511361674
-5.717224574017856,-10.046889773827065
-5.717504869781534,-10.047011198101838
-5.717382147674393,-10.04690961424915
-5.717245809195262,-10.04680814216986
-5.7174252996817225,-10.046646594824692
-5.717561900370233,-10.046724221896207
-5.7175249756167315,-10.046694534978938
-5.717174519700786,-10.046826152517786
-5.717700073255592,-10.046727616236586
-5.717318085806167,-10.046843269410902
-5.717558918244169,-10.046911958307762
-5.71738688626956,-10.046963972760969
-5.717578717763537,-10.04695716033255
-5.717365001905032,-10.046858609484149
-5.717318926281687,-10.046660309919565
-5.717604538303831,-10.046888162016076
-5.717537292424028,-10.046953977576829
-5.717343987375099,-10.046702785735228
-5.717246240895113,-10.046854026380483
-5.717670639090731,-10.04694554663383
